0,1
"Park, Program, or Office Name",Alpha Code
Abraham Lincoln Birthplace National Historical Park,ABLI
Abraham Lincoln National Heritage Area,See MWR
Acadia National Park,ACAD
"Adams Memorial, District of Columbia",See NCR
Adams National Historical Park,ADAM
African American Civil War Memorial,AFAM
African Burial Ground National Monument,AFBG
Agate Fossil Beds National Monument,AGFO
Ala Kahakai National Historic Trail,ALKA
Alagnak Wild River,ALAG
Alaska Public Lands,ANCH
Alaska Region,AKR
Alaska Regional Office,AKRO
Alcatraz Island,ALCA
Aleutian World War II National Historic Area,ALEU
Alibates Flint Quarries National Monument,ALFL
Allegheny Portage Railroad National Historic Site,ALPO
Amache National Historic Site,AMCH
American Memorial Park,AMME
Amistad National Recreation Area,AMIS
Anacostia Park,ANAC
Andersonville National Historic Site,ANDE
Andrew Johnson National Historic Site,ANJO
Aniakchak National Monument and Preserve,ANIA
Aniakchak Wild River,See ANIA
Antietam National Battlefield,ANTI
Apostle Islands National Lakeshore,APIS
Appalachian Highlands Network,APHN
Appalachian National Scenic Trail,APPA
Appomattox Court House National Historical Park,APCO
Arabia Mountain National Heritage Area,ARMO
Arches National Park,ARCH
Arctic Network,ARCN
Arkansas Post National Memorial,ARPO
"Arlington House, The Robert E. Lee Memorial",ARHO
Assateague Island National Seashore,ASIS
Atchafalaya National Heritage Area,ATTR
Augusta Canal National Heritage Area,AUCA
Aztec Ruins National Monument,AZRU
Badlands National Park,BADL
Baltimore National Heritage Area,BALT
Baltimore-Washington Parkway,BAWA
Bandelier National Monument,BAND
Belmont-Paul Women's Equality National Monument (Sewall-Belmont Women's Equality NM),BEPA
Bent's Old Fort National Historic Site,BEOL
Bering Land Bridge National Preserve,BELA
Big Bend National Park,BIBE
Big Cypress National Preserve,BICY
Big Hole National Battlefield,BIHO
Big South Fork National River and Recreation Area,BISO
Big Thicket National Preserve,BITH
Bighorn Canyon National Recreation Area,BICA
Birmingham Civil Rights National Monument,BICR
Biscayne National Park,BISC
Black Canyon Of The Gunnison National Park,BLCA
Blackstone River Valley National Historical Park,BLRV
Blackwell School National Historic Site,BLSC
Blue Ridge National Heritage Area,BLRN
Blue Ridge Parkway,BLRI
Bluestone National Scenic River,BLUE
Booker T. Washington National Monument,BOWA
Boston African American National Historic Site,BOAF
Boston Harbor Islands National Recreation Area,BOHA
Boston National Historical Park,BOST
Brices Cross Roads National Battlefield Site,BRCR
Brown v. Board Of Education National Historic Site,BRVB
Bryce Canyon National Park,BRCA
Buck Island Reef National Monument,BUIS
Buffalo National River,BUFF
Cabrillo National Monument,CABR
Cache la Poudre River National Heritage Area,CALA
California National Historic Trail,CALI
Camp Nelson National Monument,CANE
Canaveral National Seashore,CANA
Cane River Creole National Historical Park,CARI
Cane River National Heritage Area,CRHA
Canyon de Chelly National Monument,CACH
Canyonlands National Park,CANY
Cape Cod National Seashore,CACO
Cape Hatteras National Seashore,CAHA
"Cape Henry Memorial, Part of Colonial National Historical Park",CAHA
Cape Krusenstern National Monument,CAKR
Cape Lookout National Seashore,CALO
Capitol Hill Parks,CAHI
Capitol Reef National Park,CARE
Captain John Smith Chesapeake National Historic Trail,CAJO
Capulin Volcano National Monument,CAVO
Carl Sandburg Home National Historic Site,CARL
Carlsbad Caverns National Park,CAVE (formerly CACA)
Carter G. Woodson Home National Historic Site,CAWO
Casa Grande Ruins National Monument,CAGR
Castillo de San Marcos National Monument,CASA
Castle Clinton National Monument,CACL
Castle Mountains National Monument,CAMO
Catoctin Mountain Park,CATO
